Product Name,Brand,Operating System,Price,Discount,Review,Ratings,Description
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",Redmi,Android,"13,499.00",-0.25,3.9,"1,645","Brand   Redmi     Operating System   Android 14, Xiaomi HyperOS     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     CPU Speed   2.3 GHz"
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",OnePlus,OxygenOS,"42,999.00",-0.07,4.3,"3,579",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   16 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"Redmi 13 5G, Black Diamond, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",Redmi,Android,"13,499.00",-0.07,3.9,"1,645","Brand   Redmi     Operating System   Android 14, Xiaomi HyperOS     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     CPU Speed   2.3 GHz"
"realme NARZO N61 (Marble Black,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",realme,Android,"8,498.00",-0.23,4.1,479,Brand   realme     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"realme NARZO 70 Turbo 5G (Turbo Yellow,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",realme,Android,"16,998.00",-0.15,4.3,617,Brand   realme     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Model   Others     Memory Storage Capacity   128 GB
"Samsung Galaxy M35 5G (Daybreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",Samsung,Android,"16,999.00",-0.35,4.1,"2,725",Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     CPU Speed   2.4 GHz
"Redmi 13 5G, Hawaiian Blue, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",Redmi,Android,"13,499.00",-0.25,3.9,"1,645","Brand   Redmi     Operating System   Android 14, Xiaomi HyperOS     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     CPU Speed   2.3 GHz"
"OnePlus 12R (Iron Gray, 8 GB RAM, 256 GB Storage)",OnePlus,OxygenOS,"37,999.00",-0.12,4.3,"3,579",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   16 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",OnePlus,OxygenOS,"16,371.00",-0.18,4.2,"51,070",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"realme NARZO 70 Turbo 5G (Turbo Purple,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",realme,Android,"16,998.00",-0.15,4.3,617,Brand   realme     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Model   Others     Memory Storage Capacity   128 GB
Apple iPhone 13 (128GB) - (Product) RED,Apple,iOS,"42,999.00",-0.28,4.5,"30,031",Brand   Apple     Operating System   iOS 14     Memory Storage Capacity   128 GB     Screen Size   6.1 Inches     Resolution   4K
"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,4GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update",Samsung,Android,"10,999.00",-0.31,4.1,73,Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   4 GB     CPU Speed   2.2 GHz     Memory Storage Capacity   128 GB
"OnePlus 11R 5G (Galactic Silver, 8GB RAM, 128GB Storage)",OnePlus,OxygenOS,"27,999.00",-0.30,4.4,"17,845",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"realme NARZO 70 Pro 5G (Glass Green, 8GB RAM,128GB Storage) Dimensity 7050 5G Chipset | Horizon Glass Design | Segment 1st Flagship Sony IMX890 OIS Camera",realme,Android,"17,998.00",-0.28,4.1,"4,935",Brand   realme     Operating System   Android 14     RAM Memory Installed Size   8 GB     CPU Model   MediaTek Helio     Memory Storage Capacity   128 GB
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 256GB Storage)",OnePlus,OxygenOS,"22,998.00",-0.04,4.1,"2,304",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"OnePlus 11R 5G (Sonic Black, 8GB RAM, 128GB Storage)",OnePlus,OxygenOS,"27,999.00",-0.30,4.4,"17,845",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",OnePlus,OxygenOS,"42,999.00",-0.07,4.3,"3,579",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   16 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
